season,date,team1id,team1home,team1pts,team1fgm,team1fga,team13ptm,team13pta,team1ftm,team1fta,team1oreb,team1dreb,team1ast,team1stl,team1blk,team1to,team1pf,team2id,team2home,team2pts,team2fgm,team2fga,team23ptm,team23pta,team2ftm,team2fta,team2oreb,team2dreb,team2ast,team2stl,team2blk,team2to,team2pf,team1_games_played,team1_wins,team1_losses,team1_win_pct,team1_days_since_last_game,team1_opp_win_pct_mean,team1_opp_win_pct_weighted,team1_pts_for_pg,team1_pts_against_pg,team1_fgm_pg,team1_fga_pg,team1_tpm_pg,team1_tpa_pg,team1_ftm_pg,team1_fta_pg,team1_oreb_pg,team1_dreb_pg,team1_ast_pg,team1_stl_pg,team1_blk_pg,team1_to_pg,team1_pf_pg,team1_poss_pg,team1_opp_poss_pg,team1_off_eff,team1_def_eff,team1_efg_pct,team1_tov_rate,team1_oreb_rate,team1_ft_rate,team1_weighted_pts_for_pg,team1_weighted_pts_against_pg,team1_weighted_poss_pg,team1_weighted_opp_poss_pg,team1_weighted_off_eff,team1_weighted_def_eff,team1_weighted_efg_pct,team1_weighted_tov_rate,team1_weighted_oreb_rate,team1_weighted_ft_rate,team1_weighted_win_pct,team2_games_played,team2_wins,team2_losses,team2_win_pct,team2_days_since_last_game,team2_opp_win_pct_mean,team2_opp_win_pct_weighted,team2_pts_for_pg,team2_pts_against_pg,team2_fgm_pg,team2_fga_pg,team2_tpm_pg,team2_tpa_pg,team2_ftm_pg,team2_fta_pg,team2_oreb_pg,team2_dreb_pg,team2_ast_pg,team2_stl_pg,team2_blk_pg,team2_to_pg,team2_pf_pg,team2_poss_pg,team2_opp_poss_pg,team2_off_eff,team2_def_eff,team2_efg_pct,team2_tov_rate,team2_oreb_rate,team2_ft_rate,team2_weighted_pts_for_pg,team2_weighted_pts_against_pg,team2_weighted_poss_pg,team2_weighted_opp_poss_pg,team2_weighted_off_eff,team2_weighted_def_eff,team2_weighted_efg_pct,team2_weighted_tov_rate,team2_weighted_oreb_rate,team2_weighted_ft_rate,team2_weighted_win_pct,diff_games_played,sum_games_played,diff_wins,sum_wins,diff_losses,sum_losses,diff_win_pct,sum_win_pct,diff_days_since_last_game,sum_days_since_last_game,diff_opp_win_pct_mean,sum_opp_win_pct_mean,diff_opp_win_pct_weighted,sum_opp_win_pct_weighted,diff_pts_for_pg,sum_pts_for_pg,diff_pts_against_pg,sum_pts_against_pg,diff_fgm_pg,sum_fgm_pg,diff_fga_pg,sum_fga_pg,diff_tpm_pg,sum_tpm_pg,diff_tpa_pg,sum_tpa_pg,diff_ftm_pg,sum_ftm_pg,diff_fta_pg,sum_fta_pg,diff_oreb_pg,sum_oreb_pg,diff_dreb_pg,sum_dreb_pg,diff_ast_pg,sum_ast_pg,diff_stl_pg,sum_stl_pg,diff_blk_pg,sum_blk_pg,diff_to_pg,sum_to_pg,diff_pf_pg,sum_pf_pg,diff_poss_pg,sum_poss_pg,diff_opp_poss_pg,sum_opp_poss_pg,diff_off_eff,sum_off_eff,diff_def_eff,sum_def_eff,diff_efg_pct,sum_efg_pct,diff_tov_rate,sum_tov_rate,diff_oreb_rate,sum_oreb_rate,diff_ft_rate,sum_ft_rate,diff_weighted_pts_for_pg,sum_weighted_pts_for_pg,diff_weighted_pts_against_pg,sum_weighted_pts_against_pg,diff_weighted_poss_pg,sum_weighted_poss_pg,diff_weighted_opp_poss_pg,sum_weighted_opp_poss_pg,diff_weighted_off_eff,sum_weighted_off_eff,diff_weighted_def_eff,sum_weighted_def_eff,diff_weighted_efg_pct,sum_weighted_efg_pct,diff_weighted_tov_rate,sum_weighted_tov_rate,diff_weighted_oreb_rate,sum_weighted_oreb_rate,diff_weighted_ft_rate,sum_weighted_ft_rate,diff_weighted_win_pct,sum_weighted_win_pct,home_indicator,pred_team1pts,pred_team2pts,team1_diff,team2_diff,spread_diff,score
2016,2016-02-25,130,True,72.0,24,49,4,15,20,25,8,25,8,2,0,9,11,77,False,63.0,25,54,8,26,5,9,6,18,17,2,0,9,20,1.4779668,1.7869604,0.53536123,0.5100977,-0.019301113,0.7942547,0.8086602,0.47639123,0.09140425,0.49971807,0.19582902,1.7502763,1.219061,-0.44743976,-0.64341676,-0.89001656,0.10078039,0.6109668,-0.32642496,-0.6935817,-0.988783,-0.5399972,0.0012457934,-0.008957949,0.7132804,0.3007693,0.77396977,-0.8945168,-0.6816614,-0.6383461,0.44916698,0.1705887,0.017439196,0.013121044,0.6659648,0.36345488,0.70786315,-0.88804966,-0.69286305,-0.60917,0.43301597,1.4676946,1.6271527,0.7192742,0.5451317,0.84406865,0.37303233,0.48971307,0.30057868,0.08400729,0.39934558,0.32680145,0.9309422,0.96319735,-0.40834326,-0.3319596,0.031850457,0.4799187,0.8526678,-0.9562072,0.5324054,-0.59542185,0.25744236,0.07192847,0.07229212,0.51555604,0.28512037,0.4510069,-0.4730157,0.057612583,-0.37718064,0.22665386,0.09846161,0.05897773,0.056399517,0.44938016,0.31745732,0.38952667,-0.4472935,0.036565408,-0.44235596,0.34305844,-0.10779654,1.487509,0.16736884,1.8161266,-0.23403141,0.6849411,-0.04743946,0.65853083,-0.83806306,0.58722824,0.40309244,0.65696365,0.29657263,0.7294323,0.0980766,0.43466178,-0.01292703,0.101174876,0.013270561,0.51164484,-0.19252528,0.30713654,0.5824932,1.6059961,0.08393383,1.2950193,0.013215385,-0.5137758,-0.22179377,-0.57165945,-0.76092273,-0.48041347,-0.43423712,0.35434324,-0.3175347,0.8783719,0.5838911,-0.816939,-1.0033972,-0.09946482,-0.21433854,-0.9172453,-0.71303076,-0.11831099,-0.080934584,0.046528187,-0.090611346,0.041654084,0.06507803,0.6813176,-0.054594073,0.33412373,0.19472173,0.67448884,-0.26964626,-0.7785307,-0.6534146,-0.33195606,-0.17638814,-0.60165477,0.15491147,0.37424478,0.03864528,0.15100022,-0.0516602,0.04635836,-0.052670717,0.04253892,0.09747963,0.61618185,-0.035591148,0.38621196,0.2039815,0.6025847,-0.2902211,-0.7590333,-0.64073974,-0.3516972,-0.09018909,-0.6271915,0.061513208,0.48548138,0.32117662,71.971855,63.00741,-0.028144836,0.007408142,-0.03555298,0.026526883
2018,2017-12-23,2628,True,86.0,34,55,4,15,14,22,7,32,20,3,3,10,7,2729,False,75.0,28,66,15,38,4,6,5,17,20,4,2,7,17,-0.41864127,0.42687154,-1.2252333,1.7633158,-0.019301113,0.5151847,0.46208775,1.1556851,0.39127043,1.228492,0.46144092,1.1533228,0.4953741,0.47840634,0.4007764,-0.04120775,0.5230601,1.7607262,0.32782632,0.48582602,0.10757259,-0.37329596,0.5006772,0.4504496,0.8807267,0.16756526,1.0453302,-0.12125029,0.37842602,0.16634858,1.1714032,0.40265456,0.5015451,0.44745278,0.89518654,0.18085568,1.0329301,-0.12910959,0.4542201,0.16783042,1.769853,-0.37721297,-0.028787665,-0.6422524,0.7990354,0.40610588,0.1439826,0.105714545,1.1202171,0.80740094,1.1182145,0.40903372,2.3229947,1.0995364,0.18397655,-0.25704336,-0.8707903,0.72663647,1.514063,-0.05942214,1.5140668,0.008268672,-0.20298655,0.4789678,0.5052856,0.9127777,0.589188,1.2122611,-0.15027377,-0.5587989,-0.35948458,1.1627743,0.8032565,0.49538928,0.5189151,0.9358785,0.57120764,1.251085,-0.14218715,-0.5562307,-0.37373275,0.8396989,-0.10779654,-0.40162325,0.65625817,0.20869783,-0.7209488,-1.0181738,0.76216394,1.5856104,-0.41029206,0.27740777,0.36697108,0.36867964,0.36044538,0.3151938,-0.19481857,1.3008624,-0.5372705,0.7235101,-0.1158706,1.3439246,-0.04844571,0.49370533,-1.1875576,2.1584074,-0.6514307,0.98178136,0.22535907,0.3876467,0.5843803,0.05964769,0.78752923,-0.58623314,-0.3232063,0.72875345,0.014958861,1.9324313,0.31344646,0.15438542,-0.8467546,1.2646755,0.0799848,0.06288683,-0.103202365,-0.32926068,-0.09963146,0.5556277,-0.17494768,0.5470644,-0.24109167,1.0143696,-0.51180214,0.46190086,-0.42815095,1.2904727,0.052187245,-0.16106257,0.9004441,-0.14884107,0.47969624,-0.13605157,-0.22764662,1.3364861,-0.5231507,0.7266372,-0.11739429,0.56671023,-0.19293892,0.55442846,-0.2549075,1.0363591,-0.48065108,0.45679027,-0.48392165,1.3090608,0.037139334,-0.16011682,0.9621892,-0.10615885,0.49389562,-0.14438468,0.72662884,1.6244823,0.32117662,85.953896,74.944885,-0.04610443,-0.055114746,0.009010315,0.04181084
2011,2011-01-08,2335,True,67.0,25,58,10,21,7,12,9,28,12,3,7,10,19,324,False,70.0,26,63,4,10,14,23,15,27,13,3,2,8,11,0.36231497,0.59688264,-0.051503617,0.43637896,-0.9274899,-0.15869656,-0.15230697,-0.14549494,-0.16814412,-0.038921412,0.26463965,-0.82414865,-0.6054159,-0.03336498,-0.14867137,1.1933366,0.13011612,-0.033659168,0.35174417,0.09929758,0.8422723,0.2313076,0.14550868,0.15125526,-0.101122946,-0.13033062,-0.2406305,0.91628975,1.1514443,-0.20836635,-0.13719894,-0.19801176,0.1535235,0.15494922,-0.09975324,-0.16513807,-0.20343813,0.9905088,1.132284,-0.15669312,0.518471,-0.05164104,0.6335885,-0.83675617,1.3263737,-0.6888011,0.062421445,0.042104103,0.7310265,0.1568267,0.80281466,0.43584362,-0.7391927,-0.67560434,1.0566566,1.0626351,0.903829,0.540304,0.72731024,0.3921062,0.9922797,-0.019439925,-0.16372584,0.34997326,0.35624066,0.6661007,0.0865242,0.44772497,-0.08044283,0.96754825,0.8509282,0.78550464,0.15542476,0.3783995,0.38145486,0.69040316,0.062120877,0.46695524,-0.08079205,1.0197138,0.93654734,1.4075944,1.4511545,0.15400392,-0.0770758,0.65520585,0.98326224,-0.48595038,-0.7744367,1.1107366,0.017478915,-0.961874,-0.22801913,-0.05095863,-0.20320313,-0.058980625,-0.9405374,0.3857485,-0.31132272,0.015814412,-0.90839297,0.4863263,-0.25367665,0.41136983,0.00224858,-0.9498124,0.14927836,-0.77003336,-1.029581,0.6574617,-1.1473806,0.59607726,0.12743314,1.2561507,-0.47384715,0.407571,-0.745987,0.44326422,-0.06595285,0.4634056,-0.73379755,0.69090563,0.7106806,0.43742153,0.3601057,0.015956987,-0.26937634,0.29599836,-0.27194124,0.3027298,-0.8695371,0.36671218,-0.21133476,-0.0101732705,-0.73428506,0.16024782,0.85810006,0.43331915,0.016863246,1.2340913,-0.98046106,0.4267064,-0.99172455,0.42465022,-0.33513334,-0.000353722,-0.29433632,0.31822547,-0.29713374,0.32074487,-0.8958878,0.38287485,-0.21500768,-0.043339234,-0.7213916,0.19124633,0.9197476,0.47272176,-0.05240182,1.2576464,-1.0172487,0.5108692,-0.7685258,1.2189604,0.32117662,66.92413,69.99955,-0.0758667,-0.00045013428,-0.075416565,0.061761953
2008,2007-12-18,2509,False,76.0,25,57,8,19,18,26,19,33,17,7,3,17,13,2640,False,56.0,22,61,8,30,4,8,10,16,16,10,3,12,16,-0.6417716,-0.25317284,-0.8339901,0.82340217,-0.3220307,0.21474215,0.21791443,-0.03748169,-0.5002964,0.056034505,0.12158733,-0.3433252,-0.1511552,-0.12676673,-0.11338563,0.021068912,-0.17204961,-0.15254511,1.2088065,0.359461,0.09381715,0.2033167,0.10233651,0.029945431,0.05386111,-0.37546322,0.06454638,0.17623782,0.23212253,-0.07556789,-0.032891028,-0.48369724,0.11365886,0.04234791,0.047992412,-0.36841947,0.07807774,0.21693885,0.21327013,-0.052152578,0.813198,-0.7027849,-1.0223519,-0.058740992,-1.211194,-0.2508383,1.5075309,1.5228765,-0.31254283,0.7502803,-0.35513732,0.18405622,0.36462438,0.7946148,-0.44075918,-0.56741065,-0.13883811,-0.14259753,-0.5020717,0.20844884,-1.2853628,1.2175556,-0.35401952,0.38537464,0.33031446,-0.40893808,0.7139345,-0.19544588,1.1259093,-0.31835726,-0.5147306,-0.33026457,0.7334885,0.3915701,0.32867876,-0.43155247,0.69835,-0.199661,1.1671966,-0.3227048,-0.5621527,-1.2579291,0.2819412,-0.6794368,1.1451474,-0.6843182,-0.96440756,-0.48595038,1.7077873,-0.26794147,0.017478915,-0.34223312,-1.4057782,1.0024525,-1.4456537,1.008341,0.3119889,-0.2162423,-1.2315942,0.23101944,0.43662483,-0.19496389,-0.09837911,0.17868665,-0.61726135,0.037137955,-0.8952849,0.42742935,0.31190684,-0.3536123,0.45052642,-0.4259926,0.14826015,-0.07790999,0.000807033,-0.17902812,0.36442477,-0.40293312,0.7784932,0.848541,1.3489717,-0.58770996,-1.1439531,0.84524184,0.5314643,-0.12246217,-0.3482757,0.29704097,-0.35069638,0.22567707,0.52616733,-0.22926342,-1.1286134,0.26844203,0.28330863,-0.09039555,-1.0105151,0.8190392,0.5274145,-0.07586558,0.42450792,-0.37193388,0.33523053,-0.22519165,-1.1994491,0.2286036,-0.3448835,0.30672452,-0.33740428,0.2308761,0.54662216,-0.24653514,-1.1067593,0.26174214,0.3002738,-0.08627076,-1.01687,0.86775625,0.51445705,-0.08877522,0.48846668,-0.38922852,1.722591,-0.305093,-3.1135142,76.02992,56.09468,0.029922485,0.094680786,-0.0647583,0.06844327
2007,2007-01-14,140,True,68.0,24,71,9,30,11,16,17,15,7,7,2,11,29,198,False,75.0,21,44,7,17,26,41,14,32,13,8,4,25,16,0.36231497,-0.08316175,0.73098284,-0.4482457,-0.6247603,0.20699705,0.22981086,0.10907587,0.6634178,0.07102767,0.3220997,0.9366134,0.84187984,-0.25893912,-0.54185396,0.29581913,-0.63108426,-0.44579703,0.059413034,-0.6068605,-0.53326666,-0.032135975,-0.022368208,0.014248635,0.33637336,0.89457506,0.107561,-0.38966843,0.21211825,-0.614825,0.09973087,0.6596758,-0.0076505076,0.03586772,0.31111684,0.86529756,0.071543746,-0.38847667,0.21075007,-0.59335274,-0.3910702,0.27393088,0.3024004,0.13576281,0.30292106,-0.46981972,0.5351136,0.521609,0.1983315,-0.056819376,0.08092085,0.121818535,-0.20877236,-0.14169382,0.7042123,0.67940974,0.3016887,0.21657944,0.20633392,0.47049642,0.66616267,0.455721,0.07727084,0.2599961,0.2876413,0.21533476,-0.0699632,0.18352671,0.48082185,0.41852626,0.7886109,0.21026522,-0.060166482,0.25492927,0.28393358,0.23227999,-0.070354596,0.19787446,0.4483756,0.40245166,0.810964,0.3589123,0.2819412,0.32069206,-0.56596506,0.11939623,0.7398035,0.47205174,-0.6255481,-0.080994144,0.017478915,-0.6520536,-0.366489,0.42798427,-0.33518285,0.43049783,-0.120866984,0.18113193,0.62354386,0.30204806,-0.02440096,0.08796644,0.14991835,0.24032535,0.961507,0.40446702,0.839092,0.37527567,-0.8839618,0.30462953,-1.1093862,0.13146777,-0.0416404,0.36158848,-0.80640876,-0.19118136,-0.5852375,-0.11483685,-0.36787683,0.34232777,-1.0424455,0.03983505,-0.89459807,0.012619091,-0.10580725,0.033203144,-0.31652394,0.1547686,-0.31595767,0.19062181,0.06303855,0.3038793,0.86450416,0.40555236,-0.11142338,0.1697768,-0.82490826,0.10359408,-0.2421433,0.37928614,-1.2612802,0.1573797,-0.14232351,0.18394716,0.6239791,0.2979692,-0.29732165,0.15891643,-0.2921096,0.1990886,0.019550709,0.30187228,0.8407698,0.39047202,-0.16085048,0.16068418,-0.78916585,0.083351344,-0.22635455,0.3686139,-1.2631379,0.18385078,-0.62054104,-0.010664292,0.32117662,68.02048,74.92099,0.020477295,-0.07901001,0.099487305,0.07429586
2026,2026-01-03,2182,True,67.0,24,60,7,24,12,20,12,20,10,7,1,3,17,2275,False,70.0,25,51,8,19,12,17,10,29,13,2,5,9,18,0.13918462,-0.25317284,0.53536123,-0.4924769,-0.6247603,0.20024417,0.17112347,0.06867931,0.24990506,0.1409952,0.33933783,0.8156175,1.0461211,-0.5521854,-0.38189262,0.6230773,-0.001550955,0.23370217,0.07181478,0.359461,-0.18587568,-0.097119056,0.03547258,0.0338552,0.2333435,0.42757854,0.13485904,-0.06334568,0.4793914,-0.47522363,0.044148095,0.23316236,0.011384905,0.012705328,0.23098958,0.43143433,0.14960763,-0.037385754,0.4322437,-0.44040087,-0.5088423,0.056882933,0.46799445,-0.44774857,0.8505798,-0.031856924,0.116625205,0.16549015,0.6229485,0.095924206,0.6844053,0.4191761,1.1585584,0.9382374,-0.018232604,-0.13931769,0.4033487,0.56803215,0.45082778,-0.28653002,0.4194181,-0.29405314,-0.1977784,0.1785092,0.19714046,0.74140257,0.17282116,0.644021,-0.23054469,0.676237,-0.2560055,0.6282853,0.06789689,0.16451195,0.17962532,0.7626828,0.16005383,0.66379184,-0.21120529,0.73451406,-0.26139235,0.9459934,0.2819412,0.0984412,-1.0548544,0.11939623,1.2267209,0.046273027,-1.1290829,0.24055502,-0.41029206,-0.34223312,0.077313244,0.17887007,-0.0050904932,0.19046108,-0.6272941,0.4279047,0.10861183,0.18987162,-0.6183367,0.50510436,-0.16849291,0.43848526,-0.3947287,1.21478,-0.036091886,1.1831487,-0.44413373,-0.323189,-0.18716748,-0.3024167,0.13121298,0.61154,-0.622989,0.3566958,-0.24439336,0.4151522,0.3100205,-0.14483052,-0.050987985,0.49190146,0.14233743,-0.29136077,0.12145041,-0.17983523,-0.1719694,0.13163629,-0.19502532,0.14266261,-0.64529896,0.58186525,0.18247832,0.32600892,-0.6140228,0.47331083,0.18385346,-0.18214247,-0.27203688,0.6866887,-0.15480268,-0.43204984,-0.6543577,0.41890913,0.12458552,0.163143,-0.17731781,0.110703945,-0.19371189,0.1209667,-0.67196715,0.5942632,0.20060384,0.31963754,-0.62258786,0.49339676,0.1855827,-0.15603085,-0.37165573,0.6985097,-0.12048242,-0.41604787,-1.2120984,0.29253405,0.32117662,67.0544,69.933395,0.054397583,-0.066604614,0.1210022,0.08570648
2020,2019-11-22,2603,False,69.0,25,58,10,28,9,11,7,23,15,6,4,13,16,2623,False,71.0,23,60,6,20,19,23,15,27,9,11,2,13,13,-0.97646713,-0.9332172,-0.6383685,-0.4924769,-0.9274899,-0.19219007,-0.18736672,0.45471856,0.96958405,0.1409952,0.7951896,1.5217285,2.2912889,0.59824264,0.72641224,0.76838946,0.8028527,0.30556205,-0.25949392,0.106730714,0.3826804,0.4552348,0.7319859,0.6586544,-0.009081147,0.53374,-0.14932609,-0.02707074,-0.06858172,0.22046132,0.45203033,0.96272695,0.7382292,0.66420853,-0.01737814,0.5210007,-0.15403682,-0.018442074,-0.06288541,0.21021819,-0.5124226,-0.9198328,-0.8567579,-0.6422524,-0.2833959,-0.6888011,0.18009162,0.19960503,-0.04505612,-0.20992438,-0.043274608,0.0475943,-0.1881888,0.016843328,0.036092076,-0.1821271,0.511786,0.35175356,-0.5689418,-0.14094798,-0.2445493,0.77372175,-0.13007414,0.09498818,0.114817485,0.118682936,-0.075386,0.14197655,0.9869365,0.9125182,-0.025373364,-0.0381776,-0.20509109,0.10427862,0.12323098,0.11696269,-0.0780266,0.14009671,1.0078516,0.93930775,-0.03449906,-0.29213306,-0.10779654,-0.95725036,-0.0770758,-0.952223,0.009427323,-0.6988397,-0.16146824,-0.48118192,0.017478915,-0.961874,-0.3886687,-0.00044047134,-0.41209787,0.013708314,0.46097997,0.20570493,1.0478652,0.35915405,0.17342833,0.045960557,0.65424484,0.43202335,1.4233725,0.7543203,1.8940628,1.2802787,0.46569002,0.36060393,0.78619075,0.28947207,0.14826015,0.7634524,0.3394715,0.63800776,0.82268673,-0.19275005,-0.08222896,-0.24499169,0.28794962,-0.08767956,-0.46183762,0.70977414,0.5121513,0.1562295,0.5447329,0.4260354,0.45725548,0.4018039,-0.14659745,0.069826655,0.5534323,0.22041112,-0.29997754,0.013954494,-1.0393946,0.62181157,-0.9911953,0.5399607,0.2083807,0.108227804,0.45011023,0.20872661,1.0368569,0.35879135,0.53929204,0.43524158,0.45225495,0.4100913,-0.1522204,0.06462319,0.5461875,0.21226789,-0.30182353,0.010425471,-1.0518556,0.6402642,-1.0115169,0.5602094,0.20824635,0.09666278,-0.16896804,-0.50168926,-3.1135142,69.04276,71.121704,0.042762756,0.1217041,-0.078941345,0.08731605
2016,2015-11-25,233,True,83.0,31,61,7,18,14,23,10,35,19,7,4,14,23,613,False,63.0,19,61,6,25,19,27,10,26,10,4,1,15,22,-1.0880324,-1.1032283,-0.6383685,-1.0564251,-0.019301113,-0.9980599,-0.9813752,0.10728314,0.80894136,0.2259559,0.2538657,0.6928157,0.70190424,-0.57615274,-0.4561603,-1.2244656,0.33070263,0.9253542,-0.93717104,-0.11440818,-0.18129063,1.518889,0.36200324,0.3245554,-0.03299378,0.70705044,0.27483788,-0.304843,-1.3577596,-0.49366084,0.11709408,0.81659293,0.3733804,0.33614105,-0.033410303,0.701971,0.27362037,-0.29726025,-1.3401083,-0.49921417,-1.0498791,-1.4624527,-1.187946,-1.2257638,-1.7266376,-0.9077825,-2.0947814,-2.1050088,-3.2719674,-3.2770844,-3.2338707,-3.4118955,-2.575872,-2.8290927,-2.794836,-2.879112,-2.8497722,-3.2528894,-2.9093966,-2.5867257,-2.0031655,-2.9634898,-3.192398,-3.4692962,-3.4708047,-3.3529317,-3.3832622,-3.3641245,-3.043541,-3.039417,-2.815569,-3.273555,-3.2785025,-3.4679801,-3.4694476,-3.3547485,-3.3849072,-3.3645754,-3.0408733,-3.0365784,-2.813055,-1.7200028,1.4511545,-1.2906266,0.16736884,-1.2201278,0.7398035,-1.0181738,0.6082252,-1.7442217,0.8730209,-0.6520536,1.2444463,-1.7789924,1.2970469,-1.7669158,3.717931,-2.0065765,4.2126894,-1.7120972,3.721144,-1.9230596,4.05541,-2.0455365,2.9369552,-1.2590882,3.3240309,-1.4310722,2.1680331,-2.1138003,2.3862598,-2.0949547,1.682506,-2.531884,3.8579743,-1.8756489,3.6612742,-1.3370787,1.5364425,-2.2418773,1.5515975,-1.3405968,2.82296,-2.0321453,4.530596,-1.270637,4.2802615,-2.0334578,4.2560554,-2.0524714,3.8715541,-2.1180875,4.406,-1.8119445,4.1077337,-1.9780475,2.876762,-2.1231744,1.9178432,-2.6557195,2.2549052,-2.0798092,3.7226517,-2.0038738,4.220687,-1.7090917,4.284761,-2.0273533,4.260664,-2.046258,3.8707438,-2.1205752,4.4101434,-1.8141437,4.103219,-1.9799032,2.8755457,-2.1187844,1.925685,-2.645996,2.245323,-2.0822978,0.60128254,-1.7452836,0.32117662,83.12547,63.069733,0.12547302,0.069732666,0.055740356,0.08890653
2018,2018-01-18,2325,True,75.0,28,59,7,17,12,15,9,28,14,6,0,10,10,2230,False,67.0,27,56,6,24,7,9,3,23,14,8,4,10,17,0.47388017,-0.08316175,0.9266045,-0.53425086,0.2834285,0.86918,0.87010515,0.24273556,0.51978457,0.25427604,0.43702036,0.3346436,0.5672106,0.06297411,-0.26573,-0.48060456,0.39870784,-0.34716585,-0.35989058,-0.5531759,-0.49460796,-0.17922571,0.30730417,0.33511984,0.15445599,0.40430441,0.06648233,-0.5800606,-0.6554261,-0.42629966,0.29942244,0.58430153,0.36511746,0.38694167,0.15845369,0.41794932,0.08324776,-0.56364256,-0.64528924,-0.395423,-0.6248283,0.38245484,-0.19438171,0.913778,-0.45318902,-0.031856924,0.34095615,0.3589397,-0.17277351,0.1765222,-0.13876188,0.10758114,0.40267798,1.0467665,-0.52064884,-0.56111515,-1.0159051,-0.089284986,0.119427316,1.5854834,-0.63617396,-0.16918916,-0.19011949,0.1635148,0.18171911,-0.08161351,0.27316713,0.0869506,-0.08681211,-1.0492609,-0.4583335,-0.18111446,0.20457137,0.148579,0.16958168,-0.077062696,0.3150212,0.09956253,-0.071901776,-1.0627035,-0.5131164,-0.48256776,0.2819412,0.4318175,0.16736884,-0.14850858,0.009427323,1.0042751,-0.05079337,-0.61476535,0.23136443,0.12249755,0.51355237,0.67949533,0.5033543,0.68681663,0.41066164,0.016092626,0.25065124,0.3800072,0.37883314,0.04457553,0.26816988,0.28930813,-0.09515662,0.45165107,-0.54045075,0.9876342,0.5461931,-0.29769927,0.31633595,-0.5070894,0.56357634,-0.92740655,0.45744565,0.1507092,-0.41507545,-0.11562628,-1.6856192,0.8234947,0.070852414,-0.7511186,-0.23622602,-0.37480924,0.045242846,-0.21827817,0.08766388,0.25776652,0.09175359,0.28310132,0.23901097,0.026408901,0.04977402,0.37859043,-0.03851907,0.088272326,-0.40136194,-0.36309472,0.49921265,-1.0177007,0.07780632,-0.5338593,0.470324,0.040001772,0.2751622,0.43115804,0.15618606,0.27718768,0.15182987,0.3013086,0.23718227,0.031230247,0.015124068,0.41208023,-0.037550207,0.10470446,-0.4021758,-0.3450263,0.520371,-1.0213857,0.15532318,-0.5517419,-0.099284135,-0.6925672,0.32117662,75.13121,67.08746,0.13121033,0.08746338,0.04374695,0.09448066
2016,2016-02-05,112358,True,77.0,24,53,4,13,25,42,11,26,11,7,4,13,22,116,False,74.0,23,61,7,17,21,25,13,27,10,2,4,14,30,0.8085757,0.42687154,0.9266045,-0.20602706,0.5861581,-0.3298226,-0.3213808,0.33223096,0.64523864,0.1652696,0.460278,-0.07469599,0.31065136,0.8790019,0.6496961,0.4065915,0.25159457,0.033520907,0.70861644,-0.2422776,0.31979847,0.84977335,0.49777198,0.49055755,0.07222667,0.37988922,-0.100986324,0.0856735,0.06100515,0.39399698,0.34737557,0.6493237,0.51075524,0.49913257,0.07532826,0.37501425,-0.094628096,0.08766371,0.036188766,0.40167522,-0.26892528,0.9250747,0.3024004,1.3027856,-0.25059497,0.40610588,-0.18156295,-0.21254715,0.13919637,0.32795596,0.24550748,0.43133032,0.51164925,0.6228703,-0.41332254,-0.2910961,-0.4222541,-0.3429595,-0.10085078,0.7298972,0.16655584,-0.03675793,0.49465322,0.3916996,0.35090566,0.03488665,0.26452652,0.14970373,-0.12970695,-0.57095575,-0.40544564,0.17416543,0.2656031,0.38029894,0.33960062,0.0794627,0.21181072,0.18988876,-0.08956369,-0.461898,-0.34644783,-0.12541337,-0.4975343,0.8763192,0.16736884,0.38730103,-0.47749013,1.2171645,0.045116168,-0.2853387,0.017478915,0.58722824,-0.13868274,-0.28844196,-0.0982062,-0.30035433,0.14633326,0.25875184,0.19402191,0.5423055,-0.11903442,0.24078701,-0.074506186,0.50732344,-0.5316718,0.28629124,-0.34398824,0.57280123,1.1263397,0.23136094,0.8265029,0.17696427,0.7321814,-0.044143256,0.6023021,-0.08528666,0.12815057,-0.04555156,-0.079893194,0.89435685,-0.33455235,-0.047043182,0.29929367,0.14689809,0.20160906,0.7706914,-0.0026804276,0.4984809,0.037295774,0.468577,0.026745878,0.058135256,0.037981056,0.36076164,-0.26439145,0.04321881,0.2060772,-0.038240902,0.6359666,-0.32807076,0.713593,-0.03693615,0.12104643,0.28872392,0.26459882,0.50395566,0.021966312,0.497841,0.05789394,0.4657901,-0.022276444,0.08765309,0.09294041,0.32438138,-0.3042816,0.07176351,0.16613878,-0.011316776,0.50199294,-0.2726307,0.66340405,0.005164316,-0.112248994,-0.24544396,0.32117662,77.01464,74.12799,0.014640808,0.12799072,-0.113349915,0.099069305
